[2025-07-14 14:41:44] Starting battle royale monitoring...
[2025-07-14 14:41:44] System Status - Memory: 6.7%, Load: 0.49
[2025-07-14 14:42:14] System Status - Memory: 7.0%, Load: 0.52
[2025-07-14 14:42:44] System Status - Memory: 7.0%, Load: 0.32
[2025-07-14 14:43:14] System Status - Memory: 6.9%, Load: 0.59
[2025-07-14 14:43:44] System Status - Memory: 6.8%, Load: 0.66
[2025-07-14 14:44:14] System Status - Memory: 6.7%, Load: 0.45
[2025-07-14 14:44:44] System Status - Memory: 6.8%, Load: 0.35
[2025-07-14 14:45:14] System Status - Memory: 6.8%, Load: 0.29
[2025-07-14 14:45:44] System Status - Memory: 6.7%, Load: 0.17
[2025-07-14 14:46:14] System Status - Memory: 6.8%, Load: 0.26
[2025-07-14 14:46:44] System Status - Memory: 6.7%, Load: 0.16
[2025-07-14 14:47:14] System Status - Memory: 6.7%, Load: 0.10
[2025-07-14 14:47:44] System Status - Memory: 6.7%, Load: 0.06
[2025-07-14 14:48:14] System Status - Memory: 6.7%, Load: 0.03
[2025-07-14 14:48:44] System Status - Memory: 6.6%, Load: 0.02
[2025-07-14 14:49:14] System Status - Memory: 6.6%, Load: 0.01
[2025-07-14 14:49:44] System Status - Memory: 6.6%, Load: 0.08
[2025-07-14 14:50:15] System Status - Memory: 6.6%, Load: 0.05
[2025-07-14 14:50:45] System Status - Memory: 6.6%, Load: 0.19
[2025-07-14 14:51:15] System Status - Memory: 6.6%, Load: 0.11
[2025-07-14 14:51:45] System Status - Memory: 6.6%, Load: 0.12
[2025-07-14 14:52:15] System Status - Memory: 6.6%, Load: 0.15
[2025-07-14 14:52:45] System Status - Memory: 6.7%, Load: 0.09
[2025-07-14 14:53:15] System Status - Memory: 6.7%, Load: 0.05
[2025-07-14 14:53:45] System Status - Memory: 6.7%, Load: 0.17
[2025-07-14 14:54:15] System Status - Memory: 6.7%, Load: 0.21
[2025-07-14 14:54:45] System Status - Memory: 6.7%, Load: 0.20
[2025-07-14 14:55:15] System Status - Memory: 6.8%, Load: 0.12
[2025-07-14 14:55:45] System Status - Memory: 6.7%, Load: 0.14
[2025-07-14 14:56:15] System Status - Memory: 6.7%, Load: 0.09
[2025-07-14 14:56:45] System Status - Memory: 6.7%, Load: 0.18
[2025-07-14 14:57:15] System Status - Memory: 6.7%, Load: 0.11
[2025-07-14 14:57:45] System Status - Memory: 6.7%, Load: 0.29
[2025-07-14 14:58:15] System Status - Memory: 6.7%, Load: 0.30
[2025-07-14 14:58:45] System Status - Memory: 6.7%, Load: 0.18
[2025-07-14 14:59:15] System Status - Memory: 6.6%, Load: 0.16
[2025-07-14 14:59:45] System Status - Memory: 6.6%, Load: 0.21
[2025-07-14 15:00:15] System Status - Memory: 6.7%, Load: 0.24
[2025-07-14 15:00:46] System Status - Memory: 6.6%, Load: 0.15
[2025-07-14 15:01:16] System Status - Memory: 6.7%, Load: 0.25
[2025-07-14 15:01:46] System Status - Memory: 6.7%, Load: 0.15
[2025-07-14 15:02:16] System Status - Memory: 6.7%, Load: 0.09
[2025-07-14 15:02:46] System Status - Memory: 6.8%, Load: 0.19
[2025-07-14 15:03:16] System Status - Memory: 6.8%, Load: 0.18
[2025-07-14 15:03:46] System Status - Memory: 6.7%, Load: 0.18
[2025-07-14 15:04:16] System Status - Memory: 6.7%, Load: 0.11
[2025-07-14 15:04:46] System Status - Memory: 6.6%, Load: 0.07
[2025-07-14 15:05:16] System Status - Memory: 6.8%, Load: 0.04
[2025-07-14 15:05:46] System Status - Memory: 6.8%, Load: 0.10
[2025-07-14 15:06:16] System Status - Memory: 6.7%, Load: 0.32
[2025-07-14 15:06:46] System Status - Memory: 6.8%, Load: 0.19
[2025-07-14 15:07:16] System Status - Memory: 6.6%, Load: 0.17
[2025-07-14 15:07:46] System Status - Memory: 6.7%, Load: 0.22
[2025-07-14 15:08:16] System Status - Memory: 6.8%, Load: 0.19
[2025-07-14 15:08:46] System Status - Memory: 6.9%, Load: 0.12
[2025-07-14 15:09:16] System Status - Memory: 6.9%, Load: 0.15
[2025-07-14 15:09:46] System Status - Memory: 6.8%, Load: 0.09
[2025-07-14 15:10:16] System Status - Memory: 6.7%, Load: 0.05
[2025-07-14 15:10:46] System Status - Memory: 6.7%, Load: 0.03
[2025-07-14 15:11:16] System Status - Memory: 6.7%, Load: 0.02
[2025-07-14 15:11:46] System Status - Memory: 6.7%, Load: 0.20
[2025-07-14 15:12:16] System Status - Memory: 6.9%, Load: 0.12
[2025-07-14 15:12:46] System Status - Memory: 6.9%, Load: 0.07
[2025-07-14 15:13:17] System Status - Memory: 6.8%, Load: 0.18
[2025-07-14 15:13:47] System Status - Memory: 6.7%, Load: 0.29
[2025-07-14 15:14:17] System Status - Memory: 6.8%, Load: 0.28
[2025-07-14 15:14:47] System Status - Memory: 6.8%, Load: 0.28
[2025-07-14 15:15:17] System Status - Memory: 6.9%, Load: 0.33
[2025-07-14 15:15:47] System Status - Memory: 6.8%, Load: 0.26
[2025-07-14 15:16:17] System Status - Memory: 6.8%, Load: 0.22
[2025-07-14 15:16:47] System Status - Memory: 6.7%, Load: 0.13
[2025-07-14 15:17:17] System Status - Memory: 6.8%, Load: 0.13
[2025-07-14 15:17:47] System Status - Memory: 6.7%, Load: 0.18
[2025-07-14 15:18:17] System Status - Memory: 6.7%, Load: 0.11
[2025-07-14 15:18:47] System Status - Memory: 6.5%, Load: 0.20
[2025-07-14 15:19:17] System Status - Memory: 6.5%, Load: 0.35
[2025-07-14 15:19:47] System Status - Memory: 6.6%, Load: 0.21
[2025-07-14 15:20:17] System Status - Memory: 6.7%, Load: 0.13
[2025-07-14 15:20:47] System Status - Memory: 6.7%, Load: 0.08
[2025-07-14 15:21:17] System Status - Memory: 6.7%, Load: 0.19
[2025-07-14 15:21:47] System Status - Memory: 6.7%, Load: 0.20
[2025-07-14 15:22:17] System Status - Memory: 6.6%, Load: 0.28
[2025-07-14 15:22:47] System Status - Memory: 6.6%, Load: 0.33
[2025-07-14 15:23:17] System Status - Memory: 6.8%, Load: 0.20
[2025-07-14 15:23:47] System Status - Memory: 6.7%, Load: 0.12
[2025-07-14 15:24:17] System Status - Memory: 6.8%, Load: 0.07
[2025-07-14 15:24:48] System Status - Memory: 6.7%, Load: 0.04
[2025-07-14 15:25:18] System Status - Memory: 6.7%, Load: 0.18
[2025-07-14 15:25:48] System Status - Memory: 6.7%, Load: 0.11
[2025-07-14 15:26:18] System Status - Memory: 6.8%, Load: 0.12
[2025-07-14 15:26:48] System Status - Memory: 6.8%, Load: 0.07
[2025-07-14 15:27:18] System Status - Memory: 6.7%, Load: 0.04
[2025-07-14 15:27:48] System Status - Memory: 6.8%, Load: 0.25
[2025-07-14 15:28:18] System Status - Memory: 6.8%, Load: 0.22
[2025-07-14 15:28:48] System Status - Memory: 6.6%, Load: 0.13
[2025-07-14 15:29:18] System Status - Memory: 6.6%, Load: 0.08
[2025-07-14 15:29:48] System Status - Memory: 6.6%, Load: 0.05
[2025-07-14 15:30:18] System Status - Memory: 6.7%, Load: 0.10
[2025-07-14 15:30:48] System Status - Memory: 6.7%, Load: 0.14
[2025-07-14 15:31:18] System Status - Memory: 6.5%, Load: 0.13
[2025-07-14 15:31:48] System Status - Memory: 6.6%, Load: 0.28
[2025-07-14 15:32:18] System Status - Memory: 6.6%, Load: 0.17
[2025-07-14 15:32:48] System Status - Memory: 6.6%, Load: 0.10
[2025-07-14 15:33:18] System Status - Memory: 6.6%, Load: 0.14
[2025-07-14 15:33:48] System Status - Memory: 6.6%, Load: 0.33
[2025-07-14 15:34:18] System Status - Memory: 6.8%, Load: 0.35
[2025-07-14 15:34:48] System Status - Memory: 6.7%, Load: 0.28
[2025-07-14 15:35:18] System Status - Memory: 6.8%, Load: 0.31
[2025-07-14 15:35:48] System Status - Memory: 6.8%, Load: 0.33
[2025-07-14 15:36:18] System Status - Memory: 6.7%, Load: 0.20
[2025-07-14 15:36:48] System Status - Memory: 6.6%, Load: 0.12
[2025-07-14 15:37:18] System Status - Memory: 6.7%, Load: 0.07
[2025-07-14 15:37:48] System Status - Memory: 6.8%, Load: 0.04
[2025-07-14 15:38:18] System Status - Memory: 6.7%, Load: 0.10
[2025-07-14 15:38:48] System Status - Memory: 6.6%, Load: 0.06
[2025-07-14 15:39:18] System Status - Memory: 6.7%, Load: 0.03
[2025-07-14 15:39:48] System Status - Memory: 6.6%, Load: 0.08
[2025-07-14 15:40:19] System Status - Memory: 6.7%, Load: 0.25
[2025-07-14 15:40:49] System Status - Memory: 6.7%, Load: 0.30
[2025-07-14 15:41:19] System Status - Memory: 6.6%, Load: 0.18
[2025-07-14 15:41:49] System Status - Memory: 6.6%, Load: 0.21
[2025-07-14 15:42:19] System Status - Memory: 6.7%, Load: 0.24
[2025-07-14 15:42:49] System Status - Memory: 6.7%, Load: 0.15
[2025-07-14 15:43:19] System Status - Memory: 6.8%, Load: 0.09
[2025-07-14 15:43:49] System Status - Memory: 6.7%, Load: 0.18
[2025-07-14 15:44:19] System Status - Memory: 6.6%, Load: 0.17
[2025-07-14 15:44:49] System Status - Memory: 6.7%, Load: 0.16
[2025-07-14 15:45:19] System Status - Memory: 6.7%, Load: 0.18
[2025-07-14 15:45:49] System Status - Memory: 6.6%, Load: 0.11
[2025-07-14 15:46:19] System Status - Memory: 6.7%, Load: 0.14
[2025-07-14 15:46:49] System Status - Memory: 6.7%, Load: 0.09
[2025-07-14 15:47:19] System Status - Memory: 6.8%, Load: 0.05
[2025-07-14 15:47:49] System Status - Memory: 6.8%, Load: 0.03
[2025-07-14 16:03:18] System Status - Memory: 6.9%, Load: 0.16
[2025-07-14 16:03:49] System Status - Memory: 6.8%, Load: 0.22
[2025-07-14 16:04:19] System Status - Memory: 6.7%, Load: 0.13
[2025-07-14 16:04:49] System Status - Memory: 6.8%, Load: 0.33
[2025-07-14 16:05:19] System Status - Memory: 6.7%, Load: 0.20
[2025-07-14 16:05:49] System Status - Memory: 6.8%, Load: 0.18
[2025-07-14 16:06:19] System Status - Memory: 6.7%, Load: 0.11
[2025-07-14 16:06:49] System Status - Memory: 6.6%, Load: 0.38
[2025-07-14 16:07:19] System Status - Memory: 6.7%, Load: 0.29
[2025-07-14 16:07:49] System Status - Memory: 6.7%, Load: 0.18
[2025-07-14 16:08:19] System Status - Memory: 6.7%, Load: 0.23
[2025-07-14 16:08:49] System Status - Memory: 6.7%, Load: 0.27
[2025-07-14 16:09:19] System Status - Memory: 6.7%, Load: 0.16
[2025-07-14 16:09:49] System Status - Memory: 6.8%, Load: 0.22
[2025-07-14 16:10:19] System Status - Memory: 6.8%, Load: 0.13
[2025-07-14 16:10:49] System Status - Memory: 6.8%, Load: 0.08
[2025-07-14 16:11:19] System Status - Memory: 6.7%, Load: 0.05
[2025-07-14 16:11:49] System Status - Memory: 6.7%, Load: 0.10
[2025-07-14 16:12:19] System Status - Memory: 6.6%, Load: 0.28
[2025-07-14 16:12:49] System Status - Memory: 6.7%, Load: 0.28
[2025-07-14 16:13:19] System Status - Memory: 6.7%, Load: 0.28
[2025-07-14 16:13:49] System Status - Memory: 6.7%, Load: 0.48
[2025-07-14 16:14:19] System Status - Memory: 6.6%, Load: 0.42
[2025-07-14 16:14:49] System Status - Memory: 6.6%, Load: 0.59
[2025-07-14 16:15:19] System Status - Memory: 6.6%, Load: 0.36
[2025-07-14 16:15:50] System Status - Memory: 6.7%, Load: 0.37
[2025-07-14 16:16:20] System Status - Memory: 6.8%, Load: 0.22
[2025-07-14 16:16:50] System Status - Memory: 6.7%, Load: 0.19
[2025-07-14 16:17:20] System Status - Memory: 6.7%, Load: 0.12
[2025-07-14 16:17:50] System Status - Memory: 6.6%, Load: 0.14
[2025-07-14 16:18:20] System Status - Memory: 6.7%, Load: 0.09
[2025-07-14 16:18:50] System Status - Memory: 6.7%, Load: 0.05
[2025-07-14 16:19:20] System Status - Memory: 6.7%, Load: 0.08
[2025-07-14 16:19:50] System Status - Memory: 6.8%, Load: 0.11
[2025-07-14 16:20:20] System Status - Memory: 6.8%, Load: 0.12
[2025-07-14 16:20:50] System Status - Memory: 6.8%, Load: 0.14
[2025-07-14 16:21:20] System Status - Memory: 6.8%, Load: 0.26
[2025-07-14 16:21:50] System Status - Memory: 6.8%, Load: 0.16
[2025-07-14 16:22:20] System Status - Memory: 6.7%, Load: 0.16
[2025-07-14 16:22:50] System Status - Memory: 6.7%, Load: 0.15
[2025-07-14 16:23:20] System Status - Memory: 6.7%, Load: 0.15
[2025-07-14 16:23:50] System Status - Memory: 6.7%, Load: 0.09
[2025-07-14 16:24:20] System Status - Memory: 6.6%, Load: 0.11
[2025-07-14 16:24:50] System Status - Memory: 6.6%, Load: 0.19
[2025-07-14 16:25:20] System Status - Memory: 6.8%, Load: 0.17
[2025-07-14 16:25:50] System Status - Memory: 6.7%, Load: 0.10
[2025-07-14 16:26:20] System Status - Memory: 6.8%, Load: 0.19
[2025-07-14 16:26:50] System Status - Memory: 6.7%, Load: 0.11
[2025-07-14 16:27:20] System Status - Memory: 6.8%, Load: 0.07
[2025-07-14 16:27:50] System Status - Memory: 6.8%, Load: 0.10
[2025-07-14 16:28:20] System Status - Memory: 6.7%, Load: 0.27
[2025-07-14 16:28:50] System Status - Memory: 6.8%, Load: 0.32
[2025-07-14 16:29:20] System Status - Memory: 6.8%, Load: 0.67
[2025-07-14 16:29:50] System Status - Memory: 6.8%, Load: 0.58
[2025-07-14 16:30:20] System Status - Memory: 6.6%, Load: 0.76
[2025-07-14 16:30:50] System Status - Memory: 6.7%, Load: 0.52
[2025-07-14 16:31:20] System Status - Memory: 6.6%, Load: 0.31
[2025-07-14 16:31:51] System Status - Memory: 6.6%, Load: 0.25
[2025-07-14 16:32:21] System Status - Memory: 6.7%, Load: 0.37
[2025-07-14 16:32:51] System Status - Memory: 6.5%, Load: 0.22
[2025-07-14 16:33:21] System Status - Memory: 6.5%, Load: 0.13
[2025-07-14 16:33:51] System Status - Memory: 6.7%, Load: 0.20
[2025-07-14 16:34:21] System Status - Memory: 6.7%, Load: 0.20
[2025-07-14 16:34:51] System Status - Memory: 6.6%, Load: 0.29
[2025-07-14 16:35:21] System Status - Memory: 6.7%, Load: 0.17
[2025-07-14 16:35:51] System Status - Memory: 6.6%, Load: 0.10
[2025-07-14 16:36:21] System Status - Memory: 6.6%, Load: 0.06
[2025-07-14 16:36:51] System Status - Memory: 6.6%, Load: 0.04
[2025-07-14 16:37:21] System Status - Memory: 6.6%, Load: 0.22
